date,description,direction,amount,balance,account_id,currency
15/01/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,15000,Santander Savings ****3456,GBP
15/02/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,17500,Santander Savings ****3456,GBP
15/03/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,20000,Santander Savings ****3456,GBP
15/04/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,22500,Santander Savings ****3456,GBP
15/05/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,25000,Santander Savings ****3456,GBP
15/06/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,27500,Santander Savings ****3456,GBP
01/07/2020,INTEREST PAYMENT,credit,125.5,27625.5,Santander Savings ****3456,GBP
15/07/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,30125.5,Santander Savings ****3456,GBP
15/08/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,32625.5,Santander Savings ****3456,GBP
15/09/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,35125.5,Santander Savings ****3456,GBP
15/10/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,37625.5,Santander Savings ****3456,GBP
15/11/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,40125.5,Santander Savings ****3456,GBP
15/12/2020,STANDING ORDER FROM HSBC ****5678,credit,2500,42625.5,Santander Savings ****3456,GBP
01/01/2021,INTEREST PAYMENT,credit,285.5,42911,Santander Savings ****3456,GBP
15/01/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,45411,Santander Savings ****3456,GBP
15/02/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,47911,Santander Savings ****3456,GBP
15/03/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,50411,Santander Savings ****3456,GBP
15/04/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,52911,Santander Savings ****3456,GBP
15/05/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,55411,Santander Savings ****3456,GBP
15/06/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,57911,Santander Savings ****3456,GBP
01/07/2021,INTEREST PAYMENT,credit,325.75,58236.75,Santander Savings ****3456,GBP
15/07/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,60736.75,Santander Savings ****3456,GBP
15/08/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,63236.75,Santander Savings ****3456,GBP
15/09/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,65736.75,Santander Savings ****3456,GBP
15/10/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,68236.75,Santander Savings ****3456,GBP
15/11/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,70736.75,Santander Savings ****3456,GBP
15/12/2021,STANDING ORDER FROM HSBC ****5678,credit,2500,73236.75,Santander Savings ****3456,GBP
01/01/2022,INTEREST PAYMENT,credit,412.25,73649,Santander Savings ****3456,GBP
15/01/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,76649,Santander Savings ****3456,GBP
15/02/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,79649,Santander Savings ****3456,GBP
15/03/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,82649,Santander Savings ****3456,GBP
15/04/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,85649,Santander Savings ****3456,GBP
15/05/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,88649,Santander Savings ****3456,GBP
01/06/2022,BONUS PAYMENT FROM HSBC ****5678,credit,15000,103649,Santander Savings ****3456,GBP
15/06/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,106649,Santander Savings ****3456,GBP
01/07/2022,INTEREST PAYMENT,credit,525.5,107174.5,Santander Savings ****3456,GBP
15/07/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,110174.5,Santander Savings ****3456,GBP
15/08/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,113174.5,Santander Savings ****3456,GBP
15/09/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,116174.5,Santander Savings ****3456,GBP
15/10/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,119174.5,Santander Savings ****3456,GBP
15/11/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,122174.5,Santander Savings ****3456,GBP
15/12/2022,STANDING ORDER FROM HSBC ****5678,credit,3000,125174.5,Santander Savings ****3456,GBP
01/01/2023,INTEREST PAYMENT,credit,625.5,125800,Santander Savings ****3456,GBP
15/01/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,128800,Santander Savings ****3456,GBP
15/02/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,131800,Santander Savings ****3456,GBP
15/03/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,134800,Santander Savings ****3456,GBP
15/04/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,137800,Santander Savings ****3456,GBP
15/05/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,140800,Santander Savings ****3456,GBP
01/06/2023,FP,credit,20000,160800,Santander Savings ****3456,GBP
15/06/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,163800,Santander Savings ****3456,GBP
25/06/2023,FP,credit,"26,073.50",189873.5,Santander Savings ****3456,GBP
20/06/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,192873.5,Santander Savings ****3456,GBP
01/07/2023,INTEREST PAYMENT,credit,825.75,193699.25,Santander Savings ****3456,GBP
18/07/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,196699.25,Santander Savings ****3456,GBP
25/07/2023,FP,credit,35000,231699.25,Santander Savings ****3456,GBP
01/08/2023,INTEREST PAYMENT,credit,950.25,232649.5,Santander Savings ****3456,GBP
18/08/2023,STANDING ORDER FROM HSBC ****5678,credit,3000,235649.5,Santander Savings ****3456,GBP
25/08/2023,CARD PAYMENT - HOLIDAY BOOKING,debit,2500,238149.5,Santander Savings ****3456,GBP
01/09/2023,INTEREST PAYMENT,credit,1025,239174.5,Santander Savings ****3456,GBP
05/09/2023,FASTER PAYMENT TO HSBC ****5678 - PROPERTY PURCHASE,debit,215000,454174.5,Santander Savings ****3456,GBP
